0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 13069
26 13043
27 13144
28 13190
29 13220
30 13038
31 13106
32 13136
33 13066
34 13265
35 13298
36 13212
37 13344
38 13109
39 13260
40 13104
41 13238
42 13178
43 13254
44 13069
45 13289
46 13284
47 13263
48 13154
49 12960
50 13048
51 13242
52 13395
53 13204
54 13072
55 13214
56 12975
57 13293
58 13197
59 13123
60 12933
61 13052
62 13245
63 13139
64 13261
65 13169
66 13133
67 13102
68 13346
69 13214
70 13087
71 13090
72 12854
73 13054
74 13055
75 12947
76 13327
77 13388
78 12994
79 13030
80 13257
81 13170
82 13063
83 13231
84 13083
85 13165
86 13052
87 13079
88 13173
89 12954
90 13300
91 13243
92 13172
93 13310
94 13240
95 13253
96 13187
97 13175
98 13131
99 13099
100 13187
